Site ProfileID Date Chainage Elevation Flag
DUCK P-100 1998-01-27 179.31 -2.96 GPS
DUCK P-100 1998-01-27 179.81 -2.97 GPS
DUCK P-100 1998-01-27 180.41 -2.99 GPS
DUCK P-100 1998-01-27 181.01 -3.01 GPS
DUCK P-100 1998-01-27 181.61 -3.02 GPS
DUCK P-100 1998-01-27 182.11 -3.03 GPS
DUCK P-100 1998-01-27 182.81 -3.05 GPS
DUCK P-100 1998-01-27 183.41 -3.05 GPS
DUCK P-100 1998-01-27 184.01 -3.07 GPS
DUCK P-100 1998-01-27 184.51 -3.10 GPS
DUCK P-100 1998-01-27 185.11 -3.11 GPS
DUCK P-100 1998-01-27 185.61 -3.10 GPS
DUCK P-100 1998-01-27 186.41 -3.12 GPS
DUCK P-100 1998-01-27 186.91 -3.15 GPS
DUCK P-100 1998-01-27 187.61 -3.18 GPS
DUCK P-100 1998-01-27 188.01 -3.18 GPS
DUCK P-100 1998-01-27 188.61 -3.16 GPS
DUCK P-100 1998-01-27 189.21 -3.16 GPS
DUCK P-100 1998-01-27 189.91 -3.16 GPS
DUCK P-100 1998-01-27 190.31 -3.16 GPS
DUCK P-100 1998-01-27 190.91 -3.17 GPS
DUCK P-100 1998-01-27 191.41 -3.17 GPS
DUCK P-100 1998-01-27 192.01 -3.17 GPS
DUCK P-100 1998-01-27 192.71 -3.17 GPS
DUCK P-100 1998-01-27 193.31 -3.19 GPS
DUCK P-100 1998-01-27 193.81 -3.19 GPS
DUCK P-100 1998-01-27 194.41 -3.19 GPS
DUCK P-100 1998-01-27 195.01 -3.18 GPS
DUCK P-100 1998-01-27 195.71 -3.19 GPS
DUCK P-100 1998-01-27 196.11 -3.19 GPS
DUCK P-100 1998-01-27 196.71 -3.19 GPS
DUCK P-100 1998-01-27 197.21 -3.20 GPS
DUCK P-100 1998-01-27 197.81 -3.20 GPS
DUCK P-100 1998-01-27 198.51 -3.19 GPS
DUCK P-100 1998-01-27 199.11 -3.19 GPS
DUCK P-100 1998-01-27 199.61 -3.20 GPS
DUCK P-100 1998-01-27 200.22 -3.20 GPS
DUCK P-100 1998-01-27 200.72 -3.19 GPS
DUCK P-100 1998-01-27 201.32 -3.21 GPS
DUCK P-100 1998-01-27 201.91 -3.20 GPS
DUCK P-100 1998-01-27 202.41 -3.20 GPS
DUCK P-100 1998-01-27 203.01 -3.18 GPS
DUCK P-100 1998-01-27 203.72 -3.18 GPS
DUCK P-100 1998-01-27 204.22 -3.18 GPS
DUCK P-100 1998-01-27 204.82 -3.18 GPS
DUCK P-100 1998-01-27 205.32 -3.18 GPS
DUCK P-100 1998-01-27 205.91 -3.16 GPS
DUCK P-100 1998-01-27 206.41 -3.16 GPS
DUCK P-100 1998-01-27 207.12 -3.16 GPS
DUCK P-100 1998-01-27 207.72 -3.14 GPS
