Easting	Northing	Elevation_OD	Chainage	FC	Profile	Reg_ID
421780.961	93090.383	1.049	65.600	ZZ	N/A	5f00228
421780.972	93090.183	1.130	65.800	ZZ	N/A	5f00228
421780.982	93089.984	1.126	66.000	ZZ	N/A	5f00228
421780.993	93089.784	1.100	66.200	ZZ	N/A	5f00228
421781.003	93089.584	0.978	66.400	ZZ	N/A	5f00228
421781.014	93089.384	0.787	66.600	ZZ	N/A	5f00228
421781.024	93089.185	0.591	66.800	ZZ	N/A	5f00228
421781.035	93088.985	0.394	67.000	ZZ	N/A	5f00228
421781.045	93088.785	0.217	67.200	ZZ	N/A	5f00228
421781.055	93088.585	0.267	67.400	ZZ	N/A	5f00228
421781.066	93088.386	0.317	67.600	ZZ	N/A	5f00228
